,Candidat,Date,Nb de likes
841,yjadot,2021-12-16 19:05:38+00:00,97
842,yjadot,2021-12-16 19:03:19+00:00,256
843,yjadot,2021-12-16 18:42:55+00:00,256
844,yjadot,2021-12-16 18:32:24+00:00,115
845,yjadot,2021-12-16 18:20:59+00:00,104
846,yjadot,2021-12-16 17:31:18+00:00,178
847,yjadot,2021-12-16 15:00:03+00:00,68
848,yjadot,2021-12-16 11:59:00+00:00,108
849,yjadot,2021-12-16 10:24:00+00:00,129
850,yjadot,2021-12-16 07:39:56+00:00,267
851,yjadot,2021-12-16 07:15:14+00:00,502
852,yjadot,2021-12-15 21:12:29+00:00,237
853,yjadot,2021-12-15 14:18:45+00:00,83
854,yjadot,2021-12-15 12:14:39+00:00,28
855,yjadot,2021-12-15 11:08:27+00:00,148
856,yjadot,2021-12-15 11:08:27+00:00,283
857,yjadot,2021-12-14 19:38:50+00:00,223
858,yjadot,2021-12-14 15:26:00+00:00,153
859,yjadot,2021-12-14 15:24:00+00:00,148
860,yjadot,2021-12-14 13:02:38+00:00,226
861,yjadot,2021-12-14 12:15:00+00:00,155
862,yjadot,2021-12-14 10:52:40+00:00,1203
863,yjadot,2021-12-14 09:30:39+00:00,65
864,yjadot,2021-12-14 07:59:54+00:00,188
865,yjadot,2021-12-13 20:00:02+00:00,426
866,yjadot,2021-12-13 19:00:02+00:00,221
867,yjadot,2021-12-13 15:56:02+00:00,236
868,yjadot,2021-12-13 14:09:25+00:00,160
869,yjadot,2021-12-13 08:55:22+00:00,378
870,yjadot,2021-12-13 08:26:41+00:00,268
871,yjadot,2021-12-13 08:13:32+00:00,119
872,yjadot,2021-12-13 08:06:55+00:00,102
873,yjadot,2021-12-13 08:04:22+00:00,97
874,yjadot,2021-12-13 07:57:58+00:00,233
875,yjadot,2021-12-13 07:56:35+00:00,246
876,yjadot,2021-12-13 07:36:36+00:00,135
877,yjadot,2021-12-13 07:32:42+00:00,188
878,yjadot,2021-12-13 07:25:21+00:00,305
879,yjadot,2021-12-13 07:23:26+00:00,147
880,yjadot,2021-12-13 07:09:11+00:00,138
881,yjadot,2021-12-13 07:07:25+00:00,137
882,yjadot,2021-12-13 07:02:27+00:00,142
883,yjadot,2021-12-13 06:52:54+00:00,138
884,yjadot,2021-12-13 06:33:22+00:00,379
885,yjadot,2021-12-13 06:20:09+00:00,114
886,yjadot,2021-12-12 20:10:00+00:00,143
887,yjadot,2021-12-12 20:00:00+00:00,106
888,yjadot,2021-12-12 19:50:00+00:00,89
889,yjadot,2021-12-12 19:40:00+00:00,133
890,yjadot,2021-12-12 19:30:00+00:00,107
891,yjadot,2021-12-12 19:01:32+00:00,195
892,yjadot,2021-12-12 18:35:14+00:00,64
893,yjadot,2021-12-12 18:24:48+00:00,117
894,yjadot,2021-12-12 11:19:56+00:00,349
895,yjadot,2021-12-11 19:36:32+00:00,182
896,yjadot,2021-12-11 17:57:29+00:00,296
897,yjadot,2021-12-11 16:31:22+00:00,220
898,yjadot,2021-12-11 16:07:59+00:00,450
899,yjadot,2021-12-11 15:33:37+00:00,458
900,yjadot,2021-12-11 15:25:57+00:00,245
901,yjadot,2021-12-11 15:00:19+00:00,128
902,yjadot,2021-12-11 14:10:41+00:00,72
903,yjadot,2021-12-11 14:03:13+00:00,315
904,yjadot,2021-12-11 13:14:04+00:00,354
905,yjadot,2021-12-11 11:14:54+00:00,100
906,yjadot,2021-12-10 20:41:50+00:00,19
907,yjadot,2021-12-10 20:02:00+00:00,192
908,yjadot,2021-12-10 19:00:02+00:00,179
909,yjadot,2021-12-10 18:11:49+00:00,152
910,yjadot,2021-12-10 16:45:00+00:00,117
911,yjadot,2021-12-10 15:29:00+00:00,262
912,yjadot,2021-12-10 14:31:59+00:00,118
913,yjadot,2021-12-10 11:59:00+00:00,199
914,yjadot,2021-12-10 11:21:38+00:00,123
915,yjadot,2021-12-09 19:49:51+00:00,258
916,yjadot,2021-12-09 18:08:34+00:00,140
917,yjadot,2021-12-09 15:45:00+00:00,115
918,yjadot,2021-12-09 14:45:00+00:00,195
919,yjadot,2021-12-09 13:45:00+00:00,169
920,yjadot,2021-12-09 12:45:00+00:00,137
921,yjadot,2021-12-09 12:31:00+00:00,227
